Word,count
and,73
the,68
of,52
to,38
we,37
india,18
in,17
us,16
that,15
our,14
freedom,14
are,13
a,13
have,13
is,12
for,12
this,11
be,11
but,9
her,8
so,8
or,8
people,7
will,7
all,6
long,6
shall,6
may,6
with,6
who,5
when,5
world,5
it,5
no,5
has,5
ill,4
great,4
them,4
from,4
pledge,4
today,4
comes,4
history,4
service,4
future,4
been,4
never,4
on,4
now,4
work,4
not,4
at,4
one,4
opportunity,4
which,4
nation,4
redeem,3
time,3
fortune,3
day,3
star,3
his,3
up,3
new,3
also,3
even,3
can,3
an,3
free,3
man,3
live,3
past,3
destiny,3
every,3
often,3
moment,3
full,2
go,2
good,2
faith,2
some,2
sovereign,2
spirit,2
resting,2
enough,2
political,2
hard,2
make,2
nations,2
others,2
ourselves,2
out,2
over,2
pains,2
message,2
measure,2
means,2
peace,2
peoples,2
hearts,2
pledges,2
labour,2
end,2
poverty,2
into,2
quest,2
ignorance,2
hope,2
high,2
responsibility,2
step,2
life,2
still,2
take,2
their,2
there,2
they,2
come,2
those,2
thoughts,2
children,2
till,2
cannot,2
by,2
build,2
torch,2
bring,2
before,2
beckons,2
awake,2
as,2
appointed,2
what,2
whatever,2
alike,2
whose,2
again,2
taken,2
old,2
disease,2
striving,2
strength,2
dreams,2
do,2
unto,1
soul,1
peasants,1
struggle,1
utterance,1
upon,1
unworthy,1
period,1
petty,1
succeeding,1
unknown,1
pay,1
unending,1
turning,1
tryst,1
point,1
triumphs,1
trackless,1
power,1
sorrowstricken,1
praise,1
unhappily,1
stroke,1
verge,1
wind,1
years,1
write,1
workers,1
woman,1
without,1
wise,1
only,1
wipe,1
opening,1
stormy,1
stands,1
too,1
strayed,1
wholly,1
whither,1
where,1
standard,1
split,1
volunteers,1
vital,1
vision,1
very,1
sorrow,1
privileges,1
present,1
said,1
substantially,1
tempest,1
rests,1
reverent,1
reward,1
tears,1
rights,1
rises,1
tear,1
sight,1
send,1
sharers,1
served,1
she,1
surrounded,1
set,1
surround,1
suppressed,1
share,1
suffering,1
suffer,1
success,1
sisters,1
sleeps,1
think,1
slumber,1
problems,1
progressive,1
son,1
prosperity,1
prosperous,1
together,1
rarely,1
solemn,1
reality,1
through,1
rejoice,1
started,1
remain,1
soldiers,1
remember,1
social,1
thought,1
representatives,1
though,1
representing,1
responsibilities,1
religion,1
,1
off,1
brave,1
country,1
cooperate,1
continue,1
confidence,1
communalism,1
common,1
clouds,1
closely,1
clings,1
citizens,1
cherished,1
challenge,1
centuries,1
celebrate,1
cause,1
burdens,1
brothers,1
courage,1
create,1
criticism,1
disaster,1
embodying,1
economic,1
east,1
ease,1
dwell,1
discovers,1
disciplined,1
difficult,1
cut,1
destructive,1
democratic,1
democracy,1
dedication,1
death,1
dawn,1
darkness,1
brings,1
boundaries,1
encourage,1
bold,1
ancient,1
ambition,1
aloft,1
allow,1
ahead,1
ago,1
age,1
after,1
afresh,1
adventure,1
advance,1
action,1
act,1
achievements,1
achievement,1
accept,1
about,1
anew,1
any,1
anyone,1
belong,1
body,1
blown,1
blaming,1
birth,1
bind,1
beyond,1
betrayed,1
being,1
apart,1
begins,1
bear,1
await,1
assembly,1
asia,1
architect,1
appeal,1
encompass,1
endeavour,1
obligations,1
hour,1
larger,1
knit,1
justice,1
join,1
jai,1
isolated,1
intended,1
institutions,1
inequality,1
indivisible,1
independent,1
incessant,1
imprint,1
imagine,1
ideals,1
humility,1
humanity,1
lighted,1
longer,1
lost,1
much,1
noble,1
next,1
nevertheless,1
narrowmindedness,1
narrow,1
must,1
muchloved,1
motherland,1
made,1
millions,1
midnight,1
memory,1
materialises,1
many,1
mansion,1
magnificent,1
however,1
homage,1
ending,1
hind,1
fitting,1
first,1
finds,1
filled,1
fight,1
father,1
fateful,1
failures,1
face,1
eye,1
evernew,1
eternal,1
equally,1
equal,1
ensure,1
endured,1
ends,1
followers,1
forgotten,1
forth,1
grasp,1
herself,1
held,1
heavy,1
happen,1
greetings,1
greatest,1
greater,1
grandeur,1
fragments,1
give,1
generations,1
generation,1
gave,1
furthering,1
fullness,1
fulfil,1
yet,1
